"","ID","Name","Host_ID","Host_Name","Neighbourhood","Room_Type","Price","Number_of_Reviews","Last_Review","Calculated_Listing_Count","Availability_365"
"1482",11790607,"Large Sunny Room",52701385,"Jonathan Wade","Gentilly Terrace","Private room",55,41,"6/8/2018",3,326
"3557",20792696,"Merchant Lofts Unit 306",24831061,"Hosteeva","Central Business District","Entire home/apt",80,5,"7/23/2018",138,365
"1304",10628047,"Downtown Courtyard 2Bdrm Rental",53734423,"Vilna","Seventh Ward","Entire home/apt",92,24,"5/28/2018",2,360
"2102",15563375,"Beautiful home walking distance to French Quarter",12793956,"Franz","Marigny","Entire home/apt",195,27,"7/8/2018",2,0
"3261",19384713,"BalconyGuestHouse - Romantic, near French Quarter",1405952,"Zakary","Marigny","Entire home/apt",995,13,"7/1/2018",5,239
"531",3830622,"Quiet Safe blk off St Charles Ave 1",19716193,"Vince","Lower Garden District","Entire home/apt",129,131,"7/22/2018",2,339
"4909",24112010,"Newly-renovated 2 BR Private Condo Uptown",152201400,"Samantha","Black Pearl","Entire home/apt",99,26,"7/27/2018",1,124
"2075",15479248,"New 1 Bedroom Private Condo #B - Private Porch",37399748,"Bea","Algiers Point","Entire home/apt",88,57,"7/27/2018",2,119
"2737",17510423,"Fortenberry Lake Vacation Home Rental,LLC",118694376,"Patricia","Read Blvd East","Entire home/apt",800,0,"",1,358
"875",6374026,"Huge Uptown Home",863193,"Andrew","Touro","Entire home/apt",500,15,"5/20/2018",1,303
"1169",9808123,"Sweet Library Guestroom in Gentilly",50530796,"Melanie","Milneburg","Private room",27,105,"8/5/2018",1,215
"3613",20903027,"Bienvenue Chez Nous!",34679624,"David","Irish Channel","Entire home/apt",66,51,"7/26/2018",1,176
"5694",26566032,"New 1 Bed at Hibernia Tower",4962900,"Stay Alfred","Central Business District","Entire home/apt",299,0,"",114,19
"4580",23169057,"Double Shotgun with Garden Level Apartment in Mid City - Great for Groups!",125204161,"Alex","Mid-City","Entire home/apt",400,0,"",35,338
"5408",25516644,"NEW! New Orleans Home -2 miles from Bourbon Street",122380652,"Evolve Vacation Rental","St. Claude","Entire home/apt",625,0,"",37,334
"5400",25481026,"Family Home in Lower Garden District",67506285,"Tabitha","St. Thomas Dev","Private room",150,0,"",3,315
"951",7619907,"Classic New Orleans Home",39965163,"Danny","Bywater","Entire home/apt",55,178,"8/6/2018",1,169
"2521",16999134,"Stupendous Irish Channel Abode",6644345,"Aaron","Irish Channel","Entire home/apt",119,71,"7/22/2018",1,20
"858",6134655,"Home Sweet Home",10730321,"Dreama","Marlyville - Fontainbleau","Entire home/apt",153,8,"10/29/2017",1,274
"293",1635208,"Cozy room ",445491,"Jonathan","Fillmore","Private room",34,265,"7/25/2018",2,44
"4112",22261396,"Penthouse 2BR/2BA in Warehouse Dist. by Domio",91548283,"Domio","Central Business District","Entire home/apt",199,38,"7/25/2018",19,110
"815",5884803,"Absolute best location/price Uptown New Orleans!",30561035,"Cathy","Touro","Entire home/apt",70,139,"7/30/2018",1,285
"211",973432,"Lower Garden District Condo",5323302,"Melissa","Central City","Entire home/apt",285,116,"7/22/2018",1,317
"1400",11269390,"Charming French Quarter suite",34671026,"Katherine","Central Business District","Private room",200,1,"4/26/2016",1,0
"3486",20603060,"Y&B Mansion Guest Studio1 walking distance FQ&Park",147234822,"Corey","Seventh Ward","Entire home/apt",93,23,"7/23/2018",3,172
"5662",26536896,"Radiant Stay Alfred at Hibernia Tower",114353388,"Stay Alfred","Central Business District","Entire home/apt",343,1,"7/15/2018",110,219
"136",888593,"Bayou St. John Carriage House",4712241,"Mary","Fairgrounds","Entire home/apt",225,28,"7/8/2018",1,329
"1683",13231783,"Marigny Beauty, 2bdr/1bath, fully equiped apt",21728546,"Robin","Marigny","Entire home/apt",199,54,"7/29/2018",6,90
"503",3422485,"New Orleans Vacation Rental",17250966,"Sonjia","Mid-City","Entire home/apt",250,28,"4/14/2018",1,365
"3509",20654978,"NOLA FRENCH QUARTER! 1004",133064047,"Brent","Central Business District","Entire home/apt",99,90,"7/19/2018",6,17
"4141",22334207,"Come on down!",163291113,"Josett","Little Woods","Private room",95,4,"4/9/2018",1,365
"2058",15361763,"Historic Shot Gun House Steps From French Quarter!",98072326,"Joel & Lindsey","Algiers Point","Entire home/apt",200,78,"8/5/2018",2,133
"337",2102437,"5BR Home in Treme near FQ",5086005,"Zach","Treme - Lafitte","Entire home/apt",400,217,"7/23/2018",1,87
"3569",20794606,"Merchant Lofts Units 504",24831061,"Hosteeva","Central Business District","Entire home/apt",80,6,"7/2/2018",138,364
"851",6100451,"Big Easy Access to Major Venues Downtown",26581519,"Ricardo","Seventh Ward","Entire home/apt",144,6,"7/9/2018",2,353
"2117",15616702,"Mystic Krewe of Nyx Exprerience",85842976,"Christine & Nikita","Seventh Ward","Private room",70,7,"1/2/2018",6,350
"3379",19968314,"Mandeville House",2349086,"Larry","Marigny","Entire home/apt",900,4,"3/11/2018",3,318
"279",1466244,"Charming uptown victorian!",7835894,"Mary","Uptown","Private room",100,66,"4/24/2018",2,321
"3040",18636614,"Best of Both Worlds - Walk to Jazz Fest",22670113,"Lisa","Seventh Ward","Entire home/apt",125,26,"7/9/2018",1,23
"555",4163583,"Garden District GEM!-STR PERMIT 17STR-03685",21608852,"Dan","East Riverside","Entire home/apt",375,52,"7/2/2018",1,319
"3445",20408200,"Warehouse District One Bedroom Suite .",145538024,"Kyndel","Central Business District","Private room",99,2,"6/28/2018",4,81
"2084",15486251,"Coliseum Park Condo: Spacious, Bright, Comfortable",12221764,"Dave And Sara","Lower Garden District","Entire home/apt",100,16,"6/24/2017",1,99
"977",7985312,"Close to Everything NOLA and Bikes",42146488,"Kendall","Central City","Private room",66,91,"7/22/2018",1,28
"4880",24023474,"Owens 01 Estates",174650560,"Catrina","Marlyville - Fontainbleau","Private room",100,8,"7/8/2018",1,180
"4314",22692617,"JAZZ FEST GEM! - Bike 2 French Quarter! COOL YARD!",19859194,"Jay","Fairgrounds","Entire home/apt",263,9,"7/8/2018",15,180
"4225",22503273,"Spaciousâ˜…Minutes from Streetcarâ˜…Close to Tulane/LU",165103201,"Jason & Alexis","Milan","Entire home/apt",149,17,"7/21/2018",2,67
